namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	nr_13_votersreg	nr_13_votersvalid	nr_13_nevolici	nr_13_other	nr_13_kdh	nr_13_sns	nr_13_ol	nr_13_sas	nr_13_smer	nr_13_most	nr_13_sdku	nr_13_smk
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514543	Blhovce	1	619	79	540	54	25	611	255	364	25	3	2	4	1	20	101	2	97
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	1	224	37	187	15	22	220	111	113	10	8	3	8	0	23	28	4	27
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	2	311	73	238	39	34	310	189	122	14	16	0	7	3	135	8	6	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514551	Bottovo	1	168	55	113	26	29	164	112	56	11	5	8	4	3	73	2	3	3
Banskobystrickı kraj	602	Brezno	603	Brezno	508489	Braväcovo	1	570	160	428	61	99	588	321	267	45	9	8	25	19	196	1	18	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	581607	Brehy	1	893	174	750	83	91	924	544	380	72	48	25	56	27	292	10	14	0
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518191	Breziny	1	287	110	177	70	40	281	152	135	24	9	9	9	3	94	2	2	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511269	Breznièka	1	638	147	493	71	76	640	371	269	38	36	25	24	10	227	6	5	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	1	906	234	672	72	162	856	457	449	50	31	25	52	30	215	8	45	1
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	2	1060	142	918	43	99	916	305	755	50	9	13	29	18	168	3	15	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	3	877	265	612	81	184	853	550	327	62	46	25	66	42	258	3	47	1
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	4	955	282	705	68	214	987	525	462	63	40	41	52	51	208	10	60	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	5	849	233	619	109	124	852	517	335	56	34	17	59	23	285	14	29	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	6	638	190	466	47	143	656	361	295	40	23	25	35	17	188	6	27	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	7	904	259	650	89	170	909	499	410	67	22	32	65	22	255	7	29	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	8	858	251	613	72	179	864	556	308	69	25	32	47	33	290	13	46	1
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	9	927	279	658	98	181	937	506	431	54	33	37	43	30	259	9	41	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	10	732	269	471	110	159	740	489	251	56	42	22	53	27	221	10	58	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	11	605	176	440	67	109	616	364	252	60	22	18	35	18	189	4	18	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	12	725	206	519	44	162	725	417	308	58	25	23	41	23	206	9	32	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	13	743	235	514	89	146	749	441	308	68	19	28	52	23	215	10	26	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	14	854	209	645	46	163	843	395	459	46	36	24	23	33	207	1	24	1
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	15	1033	310	735	52	258	1045	580	465	91	43	40	81	34	262	4	25	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	16	1041	349	718	55	294	1067	602	465	125	29	21	94	45	253	8	27	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	17	1014	323	691	49	274	951	519	495	83	38	34	62	45	207	6	43	1
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	18	1008	260	758	41	219	1018	515	503	98	42	25	71	29	227	5	18	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	19	640	123	517	24	99	637	315	325	41	32	14	33	20	163	1	11	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	20	846	145	701	30	115	838	262	584	50	13	25	23	17	124	2	8	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	21	221	60	168	9	51	228	110	118	24	18	6	2	7	38	7	8	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515884	Brusník	1	88	20	68	12	8	87	49	39	10	1	4	1	0	33	0	0	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	1	816	184	704	52	132	888	598	290	63	71	31	63	28	303	9	29	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	2	949	212	762	79	133	974	600	374	81	77	22	62	14	318	4	22	0
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518204	Budèa	1	1049	288	765	149	139	1053	565	488	73	66	19	64	44	267	11	21	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514586	Budikovany	1	41	8	46	8	0	54	43	11	3	2	2	0	2	29	2	2	1
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511277	Budiná	1	215	132	83	77	55	212	128	87	18	4	13	5	1	84	1	2	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	558273	Bulhary	1	227	83	144	78	5	225	144	83	8	1	1	2	0	3	62	1	66
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515892	Bušince	1	1157	145	1012	59	86	1105	490	667	48	23	15	20	6	175	151	19	33
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511293	Buzitka	1	433	137	296	63	74	427	258	175	23	8	13	26	2	137	26	19	4
Banskobystrickı kraj	602	Brezno	603	Brezno	557251	Bystrá	1	176	68	326	24	44	394	337	57	28	38	13	46	62	75	11	64	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516708	Bzenica	1	481	119	362	43	76	474	318	163	40	15	11	26	8	210	2	6	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518212	Bzovík	1	829	213	616	59	154	799	490	339	43	98	45	33	12	245	4	10	0
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518221	Bzovská Lehôtka	1	109	37	81	31	6	118	84	34	14	12	6	5	4	39	1	3	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514594	Cakov	1	211	41	170	38	3	195	74	137	1	1	0	0	0	2	11	5	54
Banskobystrickı kraj	606	Zvolen	605	Krupina	518239	Cerovo	1	466	134	332	72	62	404	237	229	73	4	16	8	3	129	2	2	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	1	1157	233	924	104	129	1147	613	544	128	28	17	35	30	351	10	14	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	2	494	82	430	43	39	512	284	228	43	6	6	6	9	201	0	13	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	3	168	22	147	11	11	169	105	64	17	4	10	5	5	64	0	0	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518247	Èabradskı Vrbovok	1	203	48	155	21	27	201	119	84	23	7	12	6	5	63	0	3	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511323	Èakanovce	1	773	95	678	77	18	761	356	417	15	14	4	5	4	16	85	3	210
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511331	Èamovce	1	413	63	350	55	8	410	274	139	13	5	1	1	2	12	107	2	131
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515906	Èebovce	1	925	92	833	57	35	859	437	488	22	10	3	13	13	60	134	6	176
Banskobystrickı kraj	606	Zvolen	605	Krupina	518255	Èekovce	1	345	56	292	22	34	348	192	156	13	56	17	4	5	88	3	6	0
