namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	nr_13_votersreg	nr_13_votersvalid	nr_13_nevolici	nr_13_other	nr_13_kdh	nr_13_sns	nr_13_ol	nr_13_sas	nr_13_smer	nr_13_most	nr_13_sdku	nr_13_smk
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557315	Biskupice	1	917	196	721	31	19	108	38	903	439	478	32	10	1	8	9	53	147	5	174
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514543	Blhovce	1	619	140	479	57	7	44	32	611	255	364	25	3	2	4	1	20	101	2	97
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	1	225	27	198	6	1	15	5	220	111	114	10	8	3	8	0	23	28	4	27
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	2	311	64	247	10	8	44	2	310	189	122	14	16	0	7	3	135	8	6	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514551	Bottovo	1	168	53	115	6	10	32	5	164	112	56	11	5	8	4	3	73	2	3	3
Banskobystrickı kraj	602	Brezno	603	Brezno	508489	Braväcovo	1	569	168	420	17	44	84	23	588	321	267	45	9	8	25	19	196	1	18	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	581607	Brehy	1	895	186	738	22	22	110	32	924	544	380	72	48	25	56	27	292	10	14	0
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518191	Breziny	1	287	83	204	6	13	64	0	281	152	135	24	9	9	9	3	94	2	2	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511269	Breznièka	1	637	148	492	17	36	86	9	640	371	269	38	36	25	24	10	227	6	5	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	1	905	228	677	26	72	85	45	856	457	448	50	31	25	52	30	215	8	45	1
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	2	1073	122	951	15	42	42	23	916	305	768	50	9	13	29	18	168	3	15	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	3	883	260	623	24	79	99	58	853	550	333	62	46	25	66	42	258	3	47	1
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	4	961	284	703	28	95	89	72	987	525	462	63	40	41	52	51	208	10	60	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	5	853	249	604	29	59	121	40	852	517	336	56	34	17	59	23	285	14	29	0
